,ville,id,latitude,longitude,France,weather,nice
0,Mont Saint Michel,211285890,48.6359541,-1.51146,True,"         time  weather_code
0  2025-08-16             1
1  2025-08-17             3
2  2025-08-18             3
3  2025-08-19            53
4  2025-08-20             3
5  2025-08-21             3
6  2025-08-22             2",9.714285714285714
1,St Malo,905534,48.649518,-2.0260409,True,"         time  weather_code
0  2025-08-16             3
1  2025-08-17             3
2  2025-08-18             3
3  2025-08-19            55
4  2025-08-20            80
5  2025-08-21             3
6  2025-08-22             2",21.285714285714285
2,Bayeux,145776,49.2764624,-0.7024738,True,"         time  weather_code
0  2025-08-16             3
1  2025-08-17             1
2  2025-08-18             3
3  2025-08-19            80
4  2025-08-20            80
5  2025-08-21             3
6  2025-08-22             2",24.571428571428573
